650,0.78551,0.0025714,0.0051429,0.61298,0.0018765,0.0037529,0.48722,0.0016495,0.0032989,0.23226,0.0016241,0.0032481,0.10109,0.00146,0.00292,0.0093739,0.0014412,0.0028825
660,0.78975,0.0018147,0.0036294,0.61319,0.0019192,0.0038384,0.48843,0.0015019,0.0030038,0.23294,0.0013609,0.0027217,0.10264,0.0012774,0.0025548,0.0081526,0.0012345,0.0024691
670,0.79113,0.0022814,0.0045628,0.61446,0.0020307,0.0040614,0.48912,0.0019344,0.0038688,0.23387,0.0017092,0.0034183,0.10426,0.0015583,0.0031167,0.0093364,0.001485,0.00297
680,0.78592,0.0021076,0.0042152,0.6151,0.0023604,0.0047208,0.49075,0.0017196,0.0034392,0.23293,0.0013387,0.0026774,0.10297,0.0012205,0.002441,0.0083781,0.0011868,0.0023735
690,0.78966,0.0028931,0.0057862,0.61662,0.0024049,0.0048097,0.49391,0.0025356,0.0050713,0.23448,0.0020936,0.0041872,0.10253,0.0017521,0.0035042,0.0080038,0.0017562,0.0035124
700,0.79588,0.0034111,0.0068222,0.62208,0.0029594,0.0059188,0.50561,0.0028558,0.0057115,0.23891,0.0024556,0.0049111,0.10617,0.0022154,0.0044307,0.0088297,0.002165,0.00433
710,0.80776,0.002912,0.0058241,0.63862,0.0029321,0.0058642,0.51388,0.0028973,0.0057947,0.25104,0.0025366,0.0050732,0.11367,0.0024254,0.0048507,0.0096103,0.0023662,0.0047325
720,0.82427,0.0037093,0.0074186,0.65687,0.0033653,0.0067307,0.53922,0.0028667,0.0057335,0.27327,0.0024025,0.004805,0.12936,0.0022741,0.0045482,0.011345,0.0021849,0.0043697
730,0.83222,0.004983,0.0099659,0.68101,0.0040034,0.0080068,0.5639,0.0043383,0.0086767,0.3034,0.0034023,0.0068046,0.15324,0.0031836,0.0063671,0.019851,0.0032128,0.0064257
740,0.84417,0.0065327,0.013065,0.70238,0.006568,0.013136,0.58431,0.0062444,0.012489,0.33325,0.005357,0.010714,0.17661,0.0051545,0.010309,0.022989,0.0049101,0.0098202
750,0.8441,0.0081224,0.016245,0.71697,0.0095082,0.019016,0.6097,0.0079726,0.015945,0.35171,0.0069804,0.013961,0.20031,0.0065623,0.013125,0.032003,0.0065248,0.01305
760,0.87024,0.013363,0.026726,0.7313,0.016896,0.033792,0.62548,0.013018,0.026037,0.37342,0.011548,0.023096,0.20848,0.011087,0.022173,0.034869,0.010988,0.021977
770,0.84241,0.016675,0.03335,0.7222,0.020783,0.041567,0.60915,0.014109,0.028217,0.38097,0.010294,0.020587,0.2222,0.010433,0.020865,0.037392,0.011105,0.02221
780,0.76475,0.04962,0.09924,0.66014,0.052257,0.10451,0.5608,0.044651,0.089303,0.33793,0.043902,0.087804,0.17607,0.039378,0.078756,0.035596,0.039692,0.079384
