0.75567,0.57998,0.40993,0.12588,0.073254,-0.0070523
0.74058,0.54827,0.35524,0.1319,0.047428,-0.0016594
0.74029,0.54771,0.39179,0.14999,0.05251,0.00085538
0.7496,0.55996,0.40478,0.16098,0.059814,0.0010338
0.75058,0.56788,0.42136,0.17211,0.065979,0.0021868
0.75821,0.57827,0.43528,0.18242,0.071948,0.0035545
0.76468,0.58633,0.4436,0.19322,0.077,0.0042454
0.76828,0.59351,0.45154,0.19994,0.081872,0.0047979
0.7718,0.59954,0.4588,0.20647,0.086085,0.0052541
0.77473,0.60458,0.46678,0.21336,0.08981,0.0057627
0.7793,0.60903,0.47377,0.21878,0.093151,0.0065151
0.78142,0.61009,0.47689,0.22165,0.09513,0.0073228
0.78219,0.61288,0.47977,0.2237,0.096946,0.0072138
0.78348,0.61474,0.4804,0.2263,0.098232,0.0078155
0.78408,0.61475,0.48268,0.22802,0.098808,0.008148
0.78465,0.61367,0.484,0.22909,0.098954,0.0082487
0.78738,0.6165,0.48807,0.23056,0.099888,0.008669
0.78904,0.61957,0.49148,0.23319,0.10266,0.0093229
0.78865,0.61726,0.4904,0.23279,0.10289,0.0092358
0.78799,0.61461,0.48881,0.23252,0.10239,0.0091509
0.78842,0.61689,0.49067,0.235,0.10404,0.009447
0.78954,0.62312,0.49568,0.24108,0.10859,0.010023
0.79108,0.62826,0.50098,0.24632,0.11256,0.0107
0.78928,0.62398,0.50157,0.2447,0.11193,0.01058
0.78522,0.61946,0.49728,0.2405,0.10935,0.010149
0.78471,0.613,0.4931,0.23364,0.10473,0.0097503
0.78203,0.61169,0.48883,0.23003,0.10107,0.0083712
0.78544,0.61306,0.4885,0.23084,0.10049,0.0081961
0.78729,0.61238,0.49025,0.23128,0.10087,0.009137
0.78791,0.61247,0.49046,0.23384,0.10197,0.0087484
0.79128,0.61281,0.48665,0.23282,0.1021,0.0075003
0.78944,0.61431,0.49054,0.23239,0.10082,0.0084889
0.79407,0.62281,0.50156,0.23681,0.10518,0.008653
0.80572,0.63953,0.51954,0.25296,0.11405,0.0097869
0.81656,0.6574,0.54404,0.27312,0.13126,0.013449
0.82355,0.68406,0.56379,0.30468,0.15333,0.018877
0.83915,0.70494,0.58301,0.32993,0.1753,0.025724
0.86273,0.71447,0.61198,0.35474,0.19948,0.030296
0.85887,0.73593,0.59376,0.37503,0.21318,0.038316
0.84629,0.71886,0.60882,0.36129,0.21636,0.034428
0.78136,0.6958,0.59288,0.30304,0.15765,0.0085095
