380,-0.057981,0.017904,0.031307,0.036065,0.07213,-0.012642,0.0098572,0.031307,0.032822,0.065644,0.63694,0.024705,0.031307,0.039881,0.079762,0.069357,0.0025879,0.0050537,0.0056777,0.011355,0.00033408,0.0029648,0.031307,0.031447,0.062894
390,0.00089426,0.00075542,0.0040904,0.0041595,0.0083191,4.6672e-05,0.00060491,0.0040904,0.0041349,0.0082697,0.5625,0.003015,0.0040904,0.0050814,0.010163,0.041454,0.00013065,9.8597e-05,0.00016368,0.00032735,-5.973e-05,0.00016369,0.0040904,0.0040936,0.0081873
400,0.00019724,0.00051508,0.0036878,0.0037236,0.0074472,0.0010272,0.00016042,0.0036878,0.0036913,0.0073826,0.50819,0.0022461,0.0036878,0.004318,0.0086359,0.073087,0.0004222,0.00046275,0.00062641,0.0012528,0.00015828,6.7618e-05,0.0036878,0.0036884,0.0073768
410,0.0004224,0.00023777,0.0044273,0.0044337,0.0088674,0.0003471,0.00020322,0.0044273,0.004432,0.008864,0.49516,0.0019146,0.0044273,0.0048236,0.0096472,0.17799,0.0010132,0.0017827,0.0020505,0.004101,0.00017734,6.7575e-05,0.0044273,0.0044279,0.0088557
420,-0.0003733,0.00023664,0.0027102,0.0027205,0.0054411,0.00034487,0.0001636,0.0027102,0.0027152,0.0054303,0.50568,0.0034998,0.0027102,0.0044265,0.0088531,0.34289,0.0022583,0.0025849,0.0034324,0.0068648,8.7908e-05,7.6583e-05,0.0027102,0.0027113,0.0054226
430,0.00047129,0.00024569,0.0043783,0.0043852,0.0087705,0.00068655,0.00013757,0.0043783,0.0043805,0.008761,0.51844,0.0022716,0.0043783,0.0049325,0.0098651,0.45085,0.0030851,0.0034639,0.0046386,0.0092772,0.00033977,4.6068e-05,0.0043783,0.0043786,0.0087572
440,-1.158e-05,0.00017826,0.0035805,0.0035849,0.0071699,0.00054203,0.00010371,0.0035805,0.003582,0.007164,0.58937,0.0045643,0.0035805,0.0058011,0.011602,0.48633,0.0023643,0.0056054,0.0060836,0.012167,0.00024842,4.2921e-05,0.0035805,0.0035808,0.0071615
450,0.00047946,0.00018564,0.0061997,0.0062024,0.012405,0.00040975,0.00011791,0.0061997,0.0062008,0.012402,0.65645,0.0049531,0.0061997,0.0079353,0.015871,0.46295,0.0037306,0.0014461,0.0040011,0.0080022,0.00036224,3.622e-05,0.0061997,0.0061998,0.0124
460,0.00033831,0.00011444,0.0054333,0.0054345,0.010869,0.00025425,8.1401e-05,0.0054333,0.0054339,0.010868,0.64999,0.0032484,0.0054333,0.0063304,0.012661,0.40224,0.0019522,0.0027544,0.0033761,0.0067521,0.0008654,2.936e-05,0.0054333,0.0054334,0.010867
470,0.00039391,7.3163e-05,0.0054429,0.0054434,0.010887,0.00042305,6.4817e-05,0.0054429,0.0054433,0.010887,0.55713,0.0038774,0.0054429,0.0066828,0.013366,0.32739,0.0019,0.001784,0.0026063,0.0052126,0.0058249,5.1012e-05,0.0054429,0.0054431,0.010886
480,0.00058396,0.00010076,0.0035337,0.0035351,0.0070702,0.00035807,6.4176e-05,0.0035337,0.0035343,0.0070685,0.39011,0.0035455,0.0035337,0.0050057,0.010011,0.24987,0.0017162,0.0013947,0.0022114,0.0044228,0.023553,0.00014494,0.0035337,0.0035366,0.0070733
490,0.0008685,6.5909e-05,0.0023084,0.0023093,0.0046186,0.00056009,5.5883e-05,0.0023084,0.002309,0.0046181,0.21225,0.0013476,0.0023084,0.002673,0.0053459,0.1597,0.00127,0.00056106,0.0013884,0.0027768,0.076846,0.00059889,0.0023084,0.0023848,0.0047696
