0.036195,0.032965,0.039998,0.0056777,0.031596
0.0040075,0.0039818,0.0049577,0.00016368,0.003939
0.0035449,0.0035109,0.0041648,0.00062641,0.0035079
0.0044103,0.0044085,0.004802,0.0020505,0.0044044
0.0029223,0.0029173,0.0045533,0.0034324,0.0029137
0.0048822,0.0048779,0.0053792,0.0046386,0.0048762
0.0034834,0.0034804,0.0057389,0.0060836,0.0034791
0.0063619,0.0063603,0.0080606,0.0040011,0.0063593
0.0051801,0.0051794,0.0061133,0.0033761,0.0051789
0.005193,0.0051929,0.0064804,0.0026063,0.0051927
0.003354,0.0033531,0.0048795,0.0022114,0.0033556
0.0022076,0.0022074,0.0025856,0.0013884,0.0022865
0.0011504,0.0011486,0.001506,0.0011321,0.001639
0.00091499,0.00072674,0.00076105,0.00039502,0.0023379
0.0035537,0.00015706,0.00016838,0.0001779,0.0037134
0.0059553,9.6486e-05,0.00012269,7.3267e-05,0.0023291
0.0038401,0.00015534,0.0001491,8.162e-05,0.0034183
0.0062939,0.0001078,0.00012117,8.8754e-05,0.0025395
0.0055762,9.8335e-05,0.00010389,7.0281e-05,0.0019504
0.0041641,0.00012164,0.00013547,5.1578e-05,0.0014498
0.0036442,0.00010927,0.00011408,6.2698e-05,0.00055403
0.0044516,0.00049857,0.00013295,6.7042e-05,0.00029753
0.0050666,0.0037167,0.0011611,9.5161e-05,0.00095636
0.0075087,0.005006,0.0062392,9.8799e-05,0.0040203
0.0066887,0.0076544,0.0076829,8.9509e-05,0.0050537
0.0072068,0.0066209,0.0067215,4.2479e-05,0.0040373
0.0075217,0.0072249,0.008545,5.1875e-05,0.0041151
0.0096728,0.011038,0.0098533,4.7856e-05,0.0080436
0.0081793,0.0091936,0.0071597,7.6656e-05,0.0041943
0.008729,0.0089163,0.0089761,8.0194e-05,0.0063222
0.0083913,0.0094305,0.008858,4.8681e-05,0.0053825
0.0075007,0.0070787,0.0083018,4.5998e-05,0.0048047
0.0089842,0.0085946,0.0081613,4.8162e-05,0.0061778
0.0077238,0.0069248,0.0084315,3.1731e-05,0.004944
0.0054685,0.0062792,0.0069636,6.2081e-05,0.0036463
0.0086085,0.010087,0.0086832,0.00010925,0.0074302
0.0065516,0.0060877,0.0069658,0.00018265,0.0043433
0.0085719,0.0086854,0.0095142,0.0010445,0.0079095
0.0067493,0.0066295,0.0070765,0.0012674,0.0057298
0.0075653,0.0077763,0.0076344,0.0031783,0.0074865
0.15052,0.1068,0.13889,0.022451,0.098071
